[2019-01-22 19:45:18] - [lettuce-eventExecutorLoop-1-2] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:45:58] - [lettuce-eventExecutorLoop-1-3] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:46:38] - [lettuce-eventExecutorLoop-1-1] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:47:18] - [lettuce-eventExecutorLoop-1-3] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:47:58] - [lettuce-eventExecutorLoop-1-4] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:48:38] - [lettuce-eventExecutorLoop-1-2] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:49:18] - [lettuce-eventExecutorLoop-1-4] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:49:58] - [lettuce-eventExecutorLoop-1-1] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:50:39] - [lettuce-eventExecutorLoop-1-3] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:51:19] - [lettuce-eventExecutorLoop-1-1] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:51:59] - [lettuce-eventExecutorLoop-1-2] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:52:39] - [lettuce-eventExecutorLoop-1-4] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:53:19] - [lettuce-eventExecutorLoop-1-2] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:53:59] - [lettuce-eventExecutorLoop-1-3] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:54:39] - [lettuce-eventExecutorLoop-1-1] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:55:19] - [lettuce-eventExecutorLoop-1-3] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:55:59] - [lettuce-eventExecutorLoop-1-4] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:56:39] - [lettuce-eventExecutorLoop-1-2] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:57:20] - [lettuce-eventExecutorLoop-1-4] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:58:00] - [lettuce-eventExecutorLoop-1-2] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:58:40] - [lettuce-eventExecutorLoop-1-3] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
[2019-01-22 19:59:20] - [lettuce-eventExecutorLoop-1-1] - io.netty.util.internal.logging.AbstractInternalLogger.log(AbstractInternalLogger.java:173) - Reconnecting, last destination was 192.168.3.132:6379
